date,Ipop,E[Ipop],V[Ipop],
20070617,0.106342895325,-2.86146776127e-06,6.08144584443e-10,
20070618,0.0966371941257,-2.86146776127e-06,6.08144584443e-10,
20070619,0.0805218360444,-2.86146776127e-06,6.08144584443e-10,
20070620,0.0698987451822,-2.86146776127e-06,6.08144584443e-10,
20070621,0.0728068860757,-2.86146776127e-06,6.08144584443e-10,
20070622,0.038837913896,-2.86146776127e-06,6.08144584443e-10,
20070623,0.0517270461964,-2.86146776127e-06,6.08144584443e-10,
20070624,0.0450034723716,-2.86146776127e-06,6.08144584443e-10,
20070625,0.0363291765872,-2.86146776127e-06,6.08144584443e-10,
20070626,0.0384252345142,-2.86146776127e-06,6.08144584443e-10,
20070627,0.0205776750154,-2.86146776127e-06,6.08144584443e-10,
20070628,0.0283630514181,-2.86146776127e-06,6.08144584443e-10,
20070629,0.0208719507385,-2.86146776127e-06,6.08144584443e-10,
20070630,0.019055395424,-2.86146776127e-06,6.08144584443e-10,
20070701,0.00686891143301,-2.86146776127e-06,6.08144584443e-10,
20070702,0.0158288785766,-2.86146776127e-06,6.08144584443e-10,
20070703,0.00366201412127,-2.86146776127e-06,6.08144584443e-10,
20070704,0.0137677091133,-2.86146776127e-06,6.08144584443e-10,
20070705,0.0063537950076,-2.86146776127e-06,6.08144584443e-10,
20070706,0.00326869924601,-2.86146776127e-06,6.08144584443e-10,
20070707,0.000108764886584,-2.86146776127e-06,6.08144584443e-10,
20070708,0.00545370781526,-2.86146776127e-06,6.08144584443e-10,
20070709,-0.00283915718557,-2.86146776127e-06,6.08144584443e-10,
20070710,0.00991778776534,-2.86146776127e-06,6.08144584443e-10,
20070711,0.00126436129552,-2.86146776127e-06,6.08144584443e-10,
20070712,-0.000160299301318,-2.86146776127e-06,6.08144584443e-10,
20070713,0.00185983350075,-2.86146776127e-06,6.08144584443e-10,
20070714,0.00941590003642,-2.86146776127e-06,6.08144584443e-10,
20070715,-0.00122462169698,-2.86146776127e-06,6.08144584443e-10,
20070716,0.000423842062253,-2.86146776127e-06,6.08144584443e-10,
20070717,-0.000148387705025,-2.86146776127e-06,6.08144584443e-10,
20070718,0.00034601105432,-2.86146776127e-06,6.08144584443e-10,
20070719,0.000995011937557,-2.86146776127e-06,6.08144584443e-10,
20070720,-0.000259926312806,-2.86146776127e-06,6.08144584443e-10,
20070721,0.0016144438743,-2.86146776127e-06,6.08144584443e-10,
20070722,0.00272228199122,-2.86146776127e-06,6.08144584443e-10,
20070723,-0.000994795988266,-2.86146776127e-06,6.08144584443e-10,
20070724,-0.00429089991576,-2.86146776127e-06,6.08144584443e-10,
20070725,-0.0071503552789,-2.86146776127e-06,6.08144584443e-10,
20070726,-0.00452553758567,-2.86146776127e-06,6.08144584443e-10,
20070727,0.00154022567079,-2.86146776127e-06,6.08144584443e-10,
20070728,-0.000187307111341,-2.86146776127e-06,6.08144584443e-10,
20070729,-0.00773280714089,-2.86146776127e-06,6.08144584443e-10,
20070730,-0.00258145438868,-2.86146776127e-06,6.08144584443e-10,
20070731,0.00129520172577,-2.86146776127e-06,6.08144584443e-10,
20070801,-0.00311332686267,-2.86146776127e-06,6.08144584443e-10,
20070802,0.00143316103445,-2.86146776127e-06,6.08144584443e-10,
20070803,-0.00537450284906,-2.86146776127e-06,6.08144584443e-10,
20070804,-0.00249996031695,-2.86146776127e-06,6.08144584443e-10,
20070805,-0.0040997156737,-2.86146776127e-06,6.08144584443e-10,
20070806,0.000313523800608,-2.86146776127e-06,6.08144584443e-10,
20070807,-0.00840128642666,-2.86146776127e-06,6.08144584443e-10,
20070808,-0.00862010496523,-2.86146776127e-06,6.08144584443e-10,
20070809,-0.00212327047292,-2.86146776127e-06,6.08144584443e-10,
20070810,-0.00355555618161,-2.86146776127e-06,6.08144584443e-10,
20070811,-0.00659129548334,-2.86146776127e-06,6.08144584443e-10,
20070812,-0.000752215256644,-2.86146776127e-06,6.08144584443e-10,
20070813,-0.00422392845302,-2.86146776127e-06,6.08144584443e-10,
20070814,-0.0024907210172,-2.86146776127e-06,6.08144584443e-10,
20070815,-0.0024133134687,-2.86146776127e-06,6.08144584443e-10,
20070816,-0.00344345847681,-2.86146776127e-06,6.08144584443e-10,
20070817,-0.00542301687984,-2.86146776127e-06,6.08144584443e-10,
20070818,-0.00190807637013,-2.86146776127e-06,6.08144584443e-10,
20070819,-0.00212906315255,-2.86146776127e-06,6.08144584443e-10,
20070820,-0.00306226219918,-2.86146776127e-06,6.08144584443e-10,
20070821,-0.00319178675934,-2.86146776127e-06,6.08144584443e-10,
20070822,-0.00193437643748,-2.86146776127e-06,6.08144584443e-10,
20070823,-0.00328889751586,-2.86146776127e-06,6.08144584443e-10,
20070824,-0.00317305364014,-2.86146776127e-06,6.08144584443e-10,
20070825,-0.00542329549153,-2.86146776127e-06,6.08144584443e-10,
20070826,-0.00154754096778,-2.86146776127e-06,6.08144584443e-10,
20070827,-0.000757360615703,-2.86146776127e-06,6.08144584443e-10,
20070828,-0.0006456938402,-2.86146776127e-06,6.08144584443e-10,
20070829,-0.000929932822402,-2.86146776127e-06,6.08144584443e-10,
20070830,-0.000843646719053,-2.86146776127e-06,6.08144584443e-10,
20070831,-0.00151472123141,-2.86146776127e-06,6.08144584443e-10,
20070901,-0.000416631810322,-2.86146776127e-06,6.08144584443e-10,
20070902,-0.000725018217314,-2.86146776127e-06,6.08144584443e-10,
20070903,-0.000337347275178,-2.86146776127e-06,6.08144584443e-10,
20070904,-2.16013065714e-05,-2.86146776127e-06,6.08144584443e-10,
20070905,-0.00159034588658,-2.86146776127e-06,6.08144584443e-10,
20070906,-0.000757360615703,-2.86146776127e-06,6.08144584443e-10,
20070907,-7.56246551719e-05,-2.86146776127e-06,6.08144584443e-10,
20070908,-9999,-2.86146776127e-06,-9999,
20070909,3.23423983891e-05,-2.86146776127e-06,6.08144584443e-10,
20070910,-9999,-2.86146776127e-06,-9999,
20070911,-5.09203293572e-05,-2.86146776127e-06,6.08144584443e-10,
20070912,3.23423983891e-05,-2.86146776127e-06,6.08144584443e-10,
20070913,-9999,-2.86146776127e-06,-9999,
20070914,-9999,-2.86146776127e-06,-9999,
20070915,-9999,-2.86146776127e-06,-9999,
20070916,-9999,-2.86146776127e-06,-9999,
20070917,-9999,-2.86146776127e-06,-9999,
